date1,date2,minus
2018.01.04,2017.12.04,0.0
2018.01.03,2017.12.01,-0.020000000000000018
2018.01.02,2017.11.30,0.010000000000000009
2017.12.29,2017.11.29,-0.32000000000000006
2017.12.28,2017.11.28,-0.29000000000000004
2017.12.27,2017.11.27,-0.25
2017.12.26,2017.11.24,-0.27
2017.12.22,2017.11.23,-0.26
2017.12.21,2017.11.22,-0.29000000000000004
2017.12.20,2017.11.21,-0.26
2017.12.19,2017.11.20,-0.25
2017.12.18,2017.11.17,-0.26
2017.12.15,2017.11.16,-0.27
2017.12.14,2017.11.15,-0.26
2017.12.13,2017.11.14,-0.26
2017.12.12,2017.11.13,-0.26
2017.12.11,2017.11.10,-0.28
2017.12.08,2017.11.09,-0.28
2017.12.07,2017.11.08,-0.26
2017.12.06,2017.11.07,-0.22999999999999998
2017.12.05,2017.11.06,-0.24
2017.12.04,2017.11.03,-0.24
2017.12.01,2017.11.02,-0.24
2017.11.30,2017.11.01,-0.29000000000000004
2017.11.29,2017.10.31,0.0
2017.11.28,2017.10.30,-0.030000000000000027
2017.11.27,2017.10.27,-0.020000000000000018
2017.11.24,2017.10.26,0.0
2017.11.23,2017.10.25,-0.010000000000000009
2017.11.22,2017.10.24,0.0
2017.11.21,2017.10.23,-0.010000000000000009
2017.11.20,2017.10.20,-0.010000000000000009
2017.11.17,2017.10.19,0.0
2017.11.16,2017.10.18,0.0
2017.11.15,2017.10.17,0.0
2017.11.14,2017.10.16,0.010000000000000009
2017.11.13,2017.10.13,0.0
2017.11.10,2017.10.12,0.010000000000000009
2017.11.09,2017.10.11,0.0
2017.11.08,2017.10.10,0.030000000000000027
2017.11.07,2017.09.29,0.020000000000000018
2017.11.06,2017.09.28,0.030000000000000027
2017.11.03,2017.09.27,0.020000000000000018
2017.11.02,2017.09.26,0.010000000000000009
2017.11.01,2017.09.25,0.020000000000000018
2017.10.31,2017.09.22,-0.010000000000000009
2017.10.30,2017.09.21,0.020000000000000018
2017.10.27,2017.09.20,0.010000000000000009
2017.10.26,2017.09.19,-0.010000000000000009
2017.10.25,2017.09.18,0.010000000000000009
2017.10.24,2017.09.15,0.010000000000000009
2017.10.23,2017.09.14,0.020000000000000018
2017.10.20,2017.09.13,0.020000000000000018
2017.10.19,2017.09.12,0.020000000000000018
2017.10.18,2017.09.11,0.010000000000000009
2017.10.17,2017.09.08,0.010000000000000009
2017.10.16,2017.09.07,0.0
2017.10.13,2017.09.06,-0.010000000000000009
2017.10.12,2017.09.05,-0.010000000000000009
2017.10.11,2017.09.04,0.010000000000000009
2017.10.10,2017.09.01,0.0
2017.09.29,2017.08.31,0.0
2017.09.28,2017.08.30,-0.010000000000000009
2017.09.27,2017.08.29,-0.010000000000000009
2017.09.26,2017.08.28,0.0
2017.09.25,2017.08.25,-0.020000000000000018
2017.09.22,2017.08.24,-0.010000000000000009
2017.09.21,2017.08.23,-0.020000000000000018
2017.09.20,2017.08.22,-0.020000000000000018
2017.09.19,2017.08.21,-0.010000000000000009
2017.09.18,2017.08.18,-0.020000000000000018
2017.09.15,2017.08.17,-0.030000000000000027
2017.09.14,2017.08.16,-0.050000000000000044
2017.09.13,2017.08.14,-0.050000000000000044
2017.09.12,2017.08.11,-0.030000000000000027
2017.09.11,2017.08.10,-0.020000000000000018
2017.09.08,2017.08.09,-0.020000000000000018
2017.09.07,2017.08.08,-0.07000000000000006
2017.09.06,2017.08.07,-0.040000000000000036
2017.09.05,2017.08.04,-0.020000000000000018
2017.09.04,2017.08.03,-0.030000000000000027
2017.09.01,2017.08.02,-0.050000000000000044
2017.08.31,2017.08.01,-0.040000000000000036
2017.08.30,2017.07.31,-0.010000000000000009
2017.08.29,2017.07.28,-0.020000000000000018
2017.08.28,2017.07.27,-0.010000000000000009
2017.08.25,2017.07.26,0.0
2017.08.24,2017.07.25,0.0
2017.08.23,2017.07.24,0.010000000000000009
2017.08.22,2017.07.21,0.010000000000000009
2017.08.21,2017.07.20,0.0
2017.08.18,2017.07.19,0.0
2017.08.17,2017.07.18,0.010000000000000009
2017.08.16,2017.07.17,0.020000000000000018
2017.08.14,2017.07.14,0.030000000000000027
2017.08.11,2017.07.13,0.010000000000000009
2017.08.10,2017.07.12,0.010000000000000009
2017.08.09,2017.07.11,0.010000000000000009
2017.08.08,2017.07.10,0.06000000000000005
2017.08.07,2017.07.07,0.040000000000000036
2017.08.04,2017.07.06,0.010000000000000009
2017.08.03,2017.07.05,0.0
2017.08.02,2017.07.04,0.020000000000000018
2017.08.01,2017.07.03,0.030000000000000027
2017.07.31,2017.06.30,0.050000000000000044
2017.07.28,2017.06.29,0.040000000000000036
2017.07.27,2017.06.28,0.010000000000000009
2017.07.26,2017.06.27,0.010000000000000009
2017.07.25,2017.06.26,0.010000000000000009
2017.07.24,2017.06.23,0.0
2017.07.21,2017.06.22,-0.010000000000000009
2017.07.20,2017.06.21,0.0
2017.07.19,2017.06.20,0.0
2017.07.18,2017.06.19,0.0
2017.07.17,2017.06.16,0.0
2017.07.14,2017.06.15,-0.010000000000000009
2017.07.13,2017.06.14,-0.010000000000000009
2017.07.12,2017.06.13,-0.010000000000000009
2017.07.11,2017.06.12,-0.010000000000000009
2017.07.10,2017.06.09,-0.010000000000000009
2017.07.07,2017.06.08,0.0
2017.07.06,2017.06.07,0.0
2017.07.05,2017.06.05,0.020000000000000018
2017.07.04,2017.06.02,-0.010000000000000009
2017.07.03,2017.06.01,-0.010000000000000009
2017.06.30,2017.05.31,-0.030000000000000027
2017.06.29,2017.05.30,-0.030000000000000027
2017.06.28,2017.05.29,-0.020000000000000018
2017.06.27,2017.05.26,-0.020000000000000018
2017.06.26,2017.05.25,-0.030000000000000027
2017.06.23,2017.05.24,-0.010000000000000009
2017.06.22,2017.05.23,0.0
2017.06.21,2017.05.22,0.0
2017.06.20,2017.05.19,0.0
2017.06.19,2017.05.18,0.0
2017.06.16,2017.05.17,0.0
2017.06.15,2017.05.16,0.0
2017.06.14,2017.05.15,0.0
2017.06.13,2017.05.12,0.0
2017.06.12,2017.05.11,0.0
2017.06.09,2017.05.10,0.0
2017.06.08,2017.05.08,-0.010000000000000009
2017.06.07,2017.05.04,-0.010000000000000009
2017.06.05,2017.05.02,-0.020000000000000018
2017.06.02,2017.04.28,-0.010000000000000009
2017.06.01,2017.04.27,-0.08000000000000007
2017.05.31,2017.04.26,-0.040000000000000036
2017.05.30,2017.04.25,-0.010000000000000009
2017.05.29,2017.04.24,0.010000000000000009
2017.05.26,2017.04.21,0.010000000000000009
2017.05.25,2017.04.20,0.020000000000000018
2017.05.24,2017.04.19,0.0
2017.05.23,2017.04.18,0.0
2017.05.22,2017.04.17,0.0
2017.05.19,2017.04.14,0.0
